ticker,title,link,pubDate
AAPL,Trump Fires Another Shot at the Fed. The Economy Could Be Collateral Damage.(Barrons.com),https://www.barrons.com/articles/trump-fed-lisa-cook-things-to-know-today-2fee34e4?mod=bar_FV,Today 06:30AM
AAPL,"Apple Watch not a 'CO2-neutral product', German court finds(Reuters)",https://finance.yahoo.com/news/apple-watch-not-co2-neutral-095849936.html,05:58AM
AAPL,Elon Musks xAI files lawsuit against Apple and OpenAI(Verdict),https://finance.yahoo.com/m/ce4844f5-3ea6-3424-8746-96148353a888/elon-musk%E2%80%99s-xai-files-lawsuit.html,05:06AM
AAPL,"Elon Musk Sues Apple, OpenAI Over iPhone AI 'Monopoly'(decrypt)",https://finance.yahoo.com/m/1da7410a-9b8e-3edf-b222-edd85b2b9c23/elon-musk-sues-apple%2C-openai.html,05:01AM
AAPL,Trump threatens tariffs on nations imposing digital taxes on US tech(Euronews),https://finance.yahoo.com/m/845ca7f9-3686-347f-926c-9812cd72bb9c/trump-threatens-tariffs-on.html,04:46AM
AAPL,Heard on the Street Monday Recap: Trumps New Deal(The Wall Street Journal),https://finance.yahoo.com/m/412e2e94-ed25-35f2-a7d0-99d9388b2ae4/heard-on-the-street-monday.html,03:37AM
AAPL,"Elon Musk's xAI sues Apple, OpenAI over competition claims(Reuters Videos)",https://finance.yahoo.com/video/elon-musks-xai-sues-apple-070708112.html,03:07AM
AAPL,Trump vows retaliation against countries proposing digital taxes or regulation on American tech giants(TheStreet),https://finance.yahoo.com/m/ea34f88f-2e75-3d10-b813-673f9172f0ed/trump-vows-retaliation.html,12:14AM
AAPL,The $5.5bn cup of coffee(Financial Times),https://finance.yahoo.com/news/5-5bn-cup-coffee-040026549.html,12:00AM
AAPL,Apple supplier Goertek pivots for AI+AR era with strategic optics push(DigiTimes),https://www.digitimes.com/news/a20250826VL204/goertek-apple-supplier-optics-ar.html,Aug-25-25 10:44PM
AAPL,Jeff Bezos Said He Would Have 'Felt Icky' Had He Taken Any More Shares Of Amazon: 'I Just Didn't Feel Good...'(Benzinga),https://finance.yahoo.com/news/jeff-bezos-said-felt-icky-003109360.html,08:31PM
AAPL,"Google shifts Pixel 10 to AI, TSMC Tensor still trails(DigiTimes)",https://www.digitimes.com/news/a20250825PD211/google-pixel-google-apple-hardware-production.html,06:38PM
AAPL,Elon Musk's xAI sues Apple and OpenAI over AI competition(Quartz),https://finance.yahoo.com/m/7c76a0b4-aa1c-31a7-973c-3f20b827099a/elon-musk%27s-xai-sues-apple.html,04:41PM
AAPL,Elon Musk's xAI sues Apple and OpenAI over App Store rankings(Quartz),https://qz.com/elon-musk-isues-apple-openai,04:41PM
AAPL,"Stock Market Today: Dow Drops, Apple Firm Despite Musk Threat; Cathie Wood Loads Up On This Stock (Live Coverage)(Investor's Business Daily)",https://finance.yahoo.com/m/9e9c9200-2120-369f-8129-81868a8055b6/stock-market-today%3A-dow.html,04:31PM
AAPL,Elon Musk's X & xAI sue Apple & Open AI: What happens next?(Yahoo Finance Video),https://finance.yahoo.com/video/elon-musks-x-xai-sue-202147323.html,04:21PM
AAPL,Apple's Biggest iPhone Overhaul in a Decade Could Redefine the Stock's Next Growth Cycle(GuruFocus.com),https://finance.yahoo.com/news/apples-biggest-iphone-overhaul-decade-201401464.html,04:14PM
AAPL,"Wedbush's Dan Ives: 80% of Musk lawsuit against Apple, OpenAI is 'noise'(CNBC TV)",https://www.youtube.com/watch?v=nqm20xWoNV8,03:48PM
AAPL,"Musk's xAI sues Apple and OpenAI, escalating billionaire's tech feud(LA Times)",https://finance.yahoo.com/m/ab8f3ddf-1911-3363-aa98-4254f2a424eb/musk%27s-xai-sues-apple-and.html,03:45PM
AAPL,Inside Elon Musk's suit against Apple and OpenAI: 'This is a tale of two monopolists'(Yahoo Finance),https://finance.yahoo.com/news/inside-elon-musks-suit-against-apple-and-openai-this-is-a-tale-of-two-monopolists-194043501.html,03:40PM
AAPL,Boring Is Better. These 3 Stocks Prove It.(Barrons.com),https://www.barrons.com/articles/boring-stocks-ai-performance-f2b54f62?mod=bar_FV,03:13PM
AAPL,Why Apple Stock Could Sell Off After iPhone 17 Reveal(Investor's Business Daily),https://www.investors.com/news/technology/apple-stock-could-sell-off-on-iphone-17-reveal-analyst-says?mod=IBD_FV,03:12PM
AAPL,"Elon Musks xAI Sues Apple and OpenAI, Alleging They Are Monopolists(The Wall Street Journal)",https://finance.yahoo.com/m/005feddd-30a5-37f5-b148-c5c90b61f928/elon-musk%E2%80%99s-xai-sues-apple.html,02:51PM
AAPL,Musk sues Apple and ChatGPT maker for conspiring against him(The Telegraph),https://finance.yahoo.com/m/7ed3637d-4bf6-3016-999b-7e45bdac9b00/musk-sues-apple-and-chatgpt.html,02:32PM
AAPL,Alphabet Expands Pixel Portfolio: Is it the Next Revenue Pillar?(Zacks),/news/149174/alphabet-expands-pixel-portfolio-is-it-the-next-revenue-pillar,02:15PM
AAPL,Elon Musk accuses Apple and OpenAI of stifling AI competition in antitrust lawsuit(Associated Press Finance),https://finance.yahoo.com/news/elon-musk-accuses-apple-openai-175849956.html,01:58PM
AAPL,OpenAI says Musk's filing is 'consistent with his ongoing pattern of harassment(CNBC TV),https://www.youtube.com/watch?v=mlTjmSRgJNw,01:48PM
AAPL,"Elon Musks xAI sues Apple and OpenAI, alleging anticompetitive collusion(TechCrunch)",https://finance.yahoo.com/news/elon-musk-xai-sues-apple-173038901.html,01:30PM
AAPL,"Elon Musk Sues Apple, OpenAI(Bloomberg)",https://finance.yahoo.com/video/elon-musk-sues-apple-openai-172947253.html,01:29PM
AAPL,S&P 500 cuts losses as Nvidia climbs ahead of results(Investing.com),https://finance.yahoo.com/news/p-500-cuts-losses-nvidia-172706191.html,01:27PM
AAPL,"Elon Musk sues Apple & OpenAI, Roblox rises, Alphabet's new high(Yahoo Finance Video)",https://finance.yahoo.com/video/elon-musk-sues-apple-openai-171244491.html,01:12PM
AAPL,"Musk's X, xAI Sue Apple, OpenAI for Alleged 'Anticompetitive Scheme'(Investopedia)",https://finance.yahoo.com/m/bb5deb2e-9d2e-3e06-8fd1-36ed0aa6cd96/musk%27s-x%2C-xai-sue-apple%2C.html,01:09PM
AAPL,"Apple iPhone 17 Launch Could Trigger 'Sell The News' Reaction, Analyst Warns(Benzinga)",https://finance.yahoo.com/news/apple-iphone-17-launch-could-164046827.html,12:40PM
AAPL,Musk Sues OpenAI and Apple Over AI Access in App Store(Barrons.com),https://www.barrons.com/articles/musk-sues-openai-apple-b2af6736?mod=bar_FV,12:32PM
AAPL,"American Eagle downgraded, Puma soars, Musk sues Apple & OpenAI(Yahoo Finance Video)",https://finance.yahoo.com/video/american-eagle-downgraded-puma-soars-162526276.html,12:25PM
AAPL,"Musk's xAI sues Apple, OpenAI alleging antitrust violations(AFP)",https://finance.yahoo.com/news/musks-xai-sues-apple-openai-160219817.html,12:02PM
AAPL,"Elon Musks xAI sues Apple and OpenAI over AI competition, App Store rankings(CNN Business)",https://finance.yahoo.com/m/1c6097fa-95e0-37c2-b150-82dc0ed3f6c2/elon-musk%E2%80%99s-xai-sues-apple.html,12:00PM
AAPL,Nasdaq Gets a Boost From the Mag 7(Barrons.com),https://finance.yahoo.com/m/06963d91-d4db-3dfe-8720-ba6963dcca53/nasdaq-gets-a-boost-from-the.html,11:58AM
AAPL,"Elon Musk's X and xAI sue Apple, OpenAI for allegedly violating antitrust law(CNBC TV)",https://www.youtube.com/watch?v=AYJJ9cHXTn0,11:48AM
AAPL,"Elon Musk's xAI Sues Apple, OpenAI, Alleging 'Monopolists' Thwart AI Competition(The Wall Street Journal)",https://www.wsj.com/tech/ai/elon-musks-xai-sues-apple-openai-alleging-monopolists-thwart-ai-competition-683f21b4?mod=wsj_FV,11:38AM
AAPL,Stock Market Today: Dow Fall Ahead Of Nvidia Earnings; Dr Pepper Flashes Sell Signals On $18 Billion Deal (Live Coverage)(Investor's Business Daily),https://finance.yahoo.com/m/9e9c9200-2120-369f-8129-81868a8055b6/stock-market-today%3A-dow-fall.html,10:53AM
AAPL,Can SPOT Maintain Its Growth-Profit Balancing Act Amid Headwinds?(Zacks),/news/149000/can-spot-maintain-its-growth-profit-balancing-act-amid-headwinds,10:51AM
AAPL,BC-Most Active Stocks(Associated Press Finance),https://finance.yahoo.com/news/bc-most-active-stocks-143016639.html,10:30AM
AAPL,"Supermicro, Lambda Expand AI Infrastructure With Nvidia Blackwell-Powered Servers(Benzinga)",https://finance.yahoo.com/news/supermicro-lambda-expand-ai-infrastructure-141925539.html,10:19AM
AAPL,Apple might opt for a curved glassed design for 20th anniversary iPhone(TechCrunch),https://finance.yahoo.com/news/apple-might-opt-curved-glassed-141839738.html,10:18AM
AAPL,"Stock Market Today: Dow Falls Ahead Of Nvidia Earnings, Inflation Data; Palantir Sells Off (Live Coverage)(Investor's Business Daily)",https://finance.yahoo.com/m/9e9c9200-2120-369f-8129-81868a8055b6/stock-market-today%3A-dow-falls.html,09:49AM
AAPL,"Apple Plans Foldable, Curved- Glass iPhones: Report. What It Means for the Stock.(Barrons.com)",https://www.barrons.com/articles/apple-stock-price-iphone-foldable-b4831df0?mod=bar_FV,08:52AM
AAPL,What Is the Highest Apple Stock Has Ever Been?(Motley Fool),/news/148588/what-is-the-highest-apple-stock-has-ever-been,07:37AM
AAPL,Apple is blowing its chance for AI leadership - but what else would you expect?(MarketWatch),https://www.marketwatch.com/story/apple-is-blowing-its-chance-for-ai-leadership-but-what-else-would-you-expect-88bc1ed2?mod=mw_FV,07:35AM
AAPL,Tech Rally Shows Signs of Losing Steam(The Wall Street Journal),https://finance.yahoo.com/m/84960319-deb9-3029-9a5e-306a358e63ff/tech-rally-shows-signs-of.html,Aug-24-25 09:00PM
AAPL,"Prediction: All ""Ten Titans"" Stocks Will Surpass $1 Trillion in Market Cap by 2030(Motley Fool)",/news/148269/prediction-all-ten-titans-stocks-will-surpass-1-trillion-in-market-cap-by-2030,07:12PM
AAPL,India roundup: iPhone production begins in India(DigiTimes),https://www.digitimes.com/news/a20250822VL207/iphone-production-apple-donald-trump-display.html,06:10PM
AAPL,"If you bought Bitcoin instead of every new iPhone, youd have $250M(TheStreet)",https://finance.yahoo.com/m/d8e911e8-aefc-3140-9d4c-4e63e679f161/if-you-bought-bitcoin-instead.html,06:00PM
AAPL,Netflixs KPop Demon Hunters is probably the biggest movie in theaters(TechCrunch),https://finance.yahoo.com/news/netflix-kpop-demon-hunters-probably-195929557.html,03:59PM
